k_percent,n1000,n1000_ci,n10000,n10000_ci,n100000,n100000_ci,n1000000,n1000000_ci
0.1,1.0000,0.0000,0.1913,0.0049,0.0503,0.0014,0.0147,0.0005
0.5,0.3098,0.0073,0.0756,0.0021,0.0233,0.0007,0.0087,0.0002
1.0,0.1925,0.0048,0.0544,0.0015,0.0194,0.0005,0.0093,0.0002
2.0,0.1323,0.0035,0.0422,0.0011,0.0193,0.0005,0.0124,0.0004
5.0,0.0909,0.0023,0.0421,0.0011,0.0297,0.0009,0.0249,0.0009
10.0,0.0836,0.0023,0.0579,0.0017,0.0496,0.0016,0.0472,0.0016
15.0,0.0937,0.0027,0.0741,0.0023,0.0662,0.0023,0.0640,0.0023
20.0,0.1019,0.0031,0.0866,0.0029,0.0831,0.0029,0.0777,0.0028
25.0,0.1097,0.0035,0.0994,0.0034,0.0944,0.0033,0.0927,0.0034
30.0,0.1159,0.0039,0.1084,0.0038,0.1064,0.0038,0.1056,0.0038
35.0,0.1243,0.0042,0.1170,0.0041,0.1119,0.0042,0.1174,0.0042
40.0,0.1274,0.0044,0.1205,0.0042,0.1208,0.0042,0.1153,0.0042
45.0,0.1272,0.0045,0.1237,0.0044,0.1218,0.0044,0.1225,0.0044
50.0,0.1294,0.0045,0.1252,0.0045,0.1264,0.0045,0.1237,0.0045
